CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
6448,27,8.0,1,7.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,Meses,1.0,,1.0,2.0,1.0,2.0,2.0,2.0,1.0
6460,101,7.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,10.0,,1.0,2.0,1.0,1.0,2.0,1.0,1.0
6483,72,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
6483,81,6.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,45.0,2.0,,,,,,
6483,225,6.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,3.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
6483,237,10.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
6507,44,3.0,2,,,,,,,,,Meses,18.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0
6546,23,5.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
6546,36,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6569,45,7.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
6569,47,6.0,2,,,,,,,,,Dias,,49.0,2.0,,,,,,
6569,127,99.0,2,,,,,,,,,Dias,,51.0,2.0,,,,,,
6569,137,4.0,1,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,Dias,,15.0,2.0,,,,,,
6572,114,8.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,23.0,2.0,,,,,,
6572,118,5.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0
6581,82,99.0,2,,,,,,,,,Dias,,11.0,2.0,,,,,,
6584,57,6.0,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,Dias,,5.0,2.0,,,,,,
6595,141,99.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Dias,,11.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0
6595,143,6.0,1,10.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,10.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
6597,166,5.0,1,24.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,45.0,2.0,,,,,,
6602,42,4.0,2,,,,,,,,,Dias,,24.0,2.0,,,,,,
6602,42,5.0,2,,,,,,,,,Dias,,39.0,2.0,,,,,,
6602,44,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,10.0,2.0,,,,,,
6621,94,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
6643,6,5.0,1,2.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,Dias,,8.0,2.0,,,,,,
6643,24,5.0,2,,,,,,,,,Dias,,5.0,2.0,,,,,,
6651,55,4.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
6651,194,4.0,2,,,,,,,,,Dias,,28.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0
6651,194,7.0,2,,,,,,,,,Dias,,28.0,2.0,,,,,,
6652,94,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,26.0,2.0,,,,,,
6652,102,5.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
6712,53,6.0,2,,,,,,,,,Dias,,27.0,2.0,,,,,,
6713,2,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6713,112,4.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
6740,27,6.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
6740,108,3.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
6788,61,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6788,146,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,9.0,,2.0,,,,,,
6792,91,4.0,2,,,,,,,,,Dias,,29.0,2.0,,,,,,
6798,63,5.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
6807,45,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
6809,5,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
6809,81,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
6843,53,8.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
6850,35,5.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
6866,81,99.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
6905,97,4.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
6960,98,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
6960,98,99.0,2,,,,,,,,,Dias,,20.0,2.0,,,,,,
6981,9,6.0,1,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
6981,51,4.0,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,,Meses,2.0,,2.0,,,,,,
7002,49,99.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,1.0,,2.0,,,,,,
7033,42,6.0,2,,,,,,,,,Dias,,36.0,2.0,,,,,,
7033,46,6.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
7041,301,5.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
7069,1,4.0,1,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,Meses,3.0,,2.0,,,,,,
7087,126,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7101,7,99.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
7108,101,5.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
7108,241,99.0,2,,,,,,,,,Dias,,17.0,2.0,,,,,,
7122,1,3.0,2,,,,,,,,,Meses,6.0,,1.0,2.0,1.0,1.0,2.0,2.0,2.0
7145,61,2.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
7145,97,5.0,2,,,,,,,,,Dias,,12.0,2.0,,,,,,
7145,115,3.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7158,13,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Meses,2.0,,2.0,,,,,,
7180,96,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7182,89,99.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7203,80,4.0,2,,,,,,,,,Dias,,13.0,2.0,,,,,,
7207,42,4.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
7207,86,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7208,73,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7208,112,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
7236,196,7.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7239,20,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7239,20,9.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
7241,84,6.0,2,,,,,,,,,Dias,,37.0,2.0,,,,,,
7241,211,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,Meses,6.0,,2.0,,,,,,
7241,214,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
7246,25,3.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
7246,26,5.0,1,3.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,Meses,2.0,,2.0,,,,,,
7246,60,4.0,2,,,,,,,,,Dias,,45.0,2.0,,,,,,
7248,86,9.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7248,87,7.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
7248,88,5.0,2,,,,,,,,,Dias,,7.0,2.0,,,,,,
7248,88,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
7253,77,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
7279,75,4.0,1,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,Dias,,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
7279,76,4.0,2,,,,,,,,,Meses,12.0,,2.0,,,,,,
7279,76,99.0,2,,,,,,,,,Dias,,2.0,2.0,,,,,,
7302,23,5.0,2,,,,,,,,,Dias,,10.0,2.0,,,,,,
7326,109,5.0,2,,,,,,,,,Dias,,25.0,2.0,,,,,,
7333,8,7.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7333,8,99.0,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,Dias,,9.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
7339,136,7.0,2,,,,,,,,,Meses,14.0,,2.0,,,,,,
7397,55,6.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
7411,165,6.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
7439,30,6.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
7442,373,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,6.0,,1.0,2.0,1.0,1.0,2.0,1.0,2.0
