CONGLOME,VIVIENDA,ID,P101,P102,P103,P104,P105,P106,P107,P108,P109,P110,P111,P112,P113_BICICLETA,P113_MOTOCICLETA,P113_CARRO,P113_OTRO,P111_TEL_FIJO,P111_TEL_CELULAR,P111_CABLE,P111_INTERNET,P112_RADIO,P112_TELEVISOR,P112_COMPUTADORA,P112_HORNO,P112_LAVADORA,P112_REFRIGERADORA,P112_COCINA,P112_PLANCHA,P112_EQUIPO
6643,24,5.0,1,6,7,4,5,5,7,4,3,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
6651,55,4.0,1,3,4,6,5,5,1,2,1,6,2,27,2,1,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
6740,27,6.0,1,1,1,3,1,1,1,2,2,3,1234,2356789,2,2,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1
6788,61,6.0,6,8,9,5,7,7,7,1,1,2,23,27,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
6792,91,4.0,1,8,4,6,1,1,1,1,1,2,23,25678,2,2,1,1,2,1,1,2,2,1,2,2,1,1,1,1,2
6798,63,5.0,1,1,5,5,1,1,1,6,6,2,234,27,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2
6807,45,5.0,1,1,5,5,1,1,1,3,3,2,23,2467,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,2,2
6809,81,6.0,1,8,6,6,2,1,1,3,1,2,2,2678,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,1,2
6843,22,4.0,1,1,1,3,1,1,1,2,2,2,2,126789,2,2,2,2,2,1,2,2,1,1,2,2,2,1,1,1,1
6843,53,8.0,1,1,1,5,1,1,1,4,3,2,1234,123456789,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6850,35,5.0,1,4,6,5,4,5,1,3,2,2,23,1279,2,1,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1
6905,97,4.0,1,1,1,3,1,1,1,5,3,2,2,2456789,2,1,1,2,2,1,2,2,2,1,2,1,1,1,1,1,1
6960,98,99.0,1,1,4,5,1,1,1,5,4,2,23,1235678,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2
6960,98,7.0,1,1,4,5,1,1,1,5,4,2,23,1235678,2,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2
7033,42,6.0,1,3,3,6,1,5,1,1,1,2,2,17,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
7145,61,2.0,1,3,1,2,1,2,1,2,1,2,124,23456710,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,2,2
7145,97,5.0,1,3,4,6,2,2,1,2,2,2,2,25678,2,2,2,2,2,1,2,2,2,1,2,2,1,1,1,1,2
7158,13,4.0,1,1,1,5,1,1,1,1,1,2,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
7180,96,5.0,1,1,1,3,1,1,1,4,3,2,23,12456789,2,2,2,2,2,1,1,2,1,1,2,1,1,1,1,1,1
7207,42,4.0,1,1,5,5,1,1,1,3,1,2,2,2678,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2
7207,86,3.0,1,1,1,5,1,1,1,3,1,2,1234,126789,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,1
7246,25,3.0,1,3,4,6,1,1,1,3,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
7246,60,4.0,1,3,4,6,5,3,1,3,2,6,2,12,2,1,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2
7248,87,7.0,1,3,3,6,5,7,1,2,2,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
7248,88,99.0,1,3,3,6,7,5,1,3,3,6,2,127,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
7248,88,5.0,1,3,3,6,7,5,1,3,3,6,2,127,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2
7279,76,99.0,1,3,4,6,2,3,7,2,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
7279,76,4.0,1,3,4,6,2,3,7,2,1,6,5,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
7302,23,5.0,1,1,1,5,1,1,1,5,4,2,2,256789,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1
7333,8,99.0,1,1,1,5,1,1,1,1,1,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
7397,55,6.0,1,3,5,5,1,1,1,6,3,2,23,6789,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,1
7439,30,6.0,1,1,4,5,1,1,1,4,3,2,124,23789,2,1,2,2,1,1,2,1,2,1,1,2,2,2,1,1,1
7460,60,4.0,1,3,4,5,7,5,1,1,1,6,2,167,1,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
7529,60,6.0,1,1,1,3,1,1,1,4,2,2,23,2678,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,2
7529,80,5.0,1,1,4,5,1,1,1,3,2,2,1234,123456789,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
7541,23,3.0,1,1,1,3,1,1,1,2,2,3,2,27,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,2
7567,87,6.0,1,6,4,5,2,5,1,3,3,2,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
7818,44,5.0,1,1,1,5,1,1,1,5,3,2,1234,12345678,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2
7888,80,4.0,4,1,1,3,1,1,1,5,3,2,234,123456789,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
7921,50,5.0,1,1,1,5,1,1,1,3,2,3,2,1267,1,2,2,2,2,1,2,2,1,1,2,2,2,1,1,2,2
7960,80,4.0,1,1,4,5,1,1,1,3,2,2,2,1256789,2,2,2,2,2,1,2,2,1,1,2,2,1,1,1,1,1
7977,31,6.0,1,1,1,3,1,1,1,5,4,2,1234,2345678,2,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2
7992,38,8.0,1,3,5,5,1,1,1,5,3,2,1234,126789,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1
8110,83,5.0,1,6,4,6,1,5,1,3,2,2,2,2678,2,2,2,1,2,1,2,2,2,1,2,2,2,1,1,1,2
8120,26,7.0,1,3,5,5,1,1,1,5,3,2,234,236789,2,2,2,1,2,1,1,1,2,1,1,2,2,1,1,1,1
8131,93,5.0,1,3,4,5,5,5,6,2,2,6,32,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
8188,47,4.0,1,6,4,4,6,5,1,1,1,2,23,26789,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,1,1
8188,96,4.0,1,6,4,4,6,5,1,3,2,2,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
8281,19,9.0,1,1,4,5,1,1,1,4,3,2,23,12378,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2
8281,19,6.0,1,1,4,5,1,1,1,4,3,2,23,12378,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2
8282,73,4.0,1,8,4,6,1,1,1,2,1,6,2,0,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
8305,49,8.0,1,6,4,5,7,1,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
8305,49,7.0,1,6,4,5,7,1,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
8307,39,99.0,5,6,7,4,3,5,6,2,2,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
8307,39,6.0,5,6,7,4,3,5,6,2,2,6,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
8315,46,5.0,1,6,4,4,5,5,1,2,1,6,2,27,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,2,2
8315,52,8.0,1,6,4,4,5,5,7,5,5,6,2,6,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2
8317,3,99.0,1,6,4,4,5,5,1,1,1,6,2,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2
8317,68,99.0,1,6,4,4,7,5,7,4,3,6,5,12,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
8317,68,7.0,1,6,4,4,7,5,7,4,3,6,5,12,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2
8327,64,7.0,1,6,7,4,5,4,7,2,1,6,2,12,2,2,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2
8327,68,5.0,1,6,4,6,5,7,7,2,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
8335,42,8.0,1,6,4,4,2,5,1,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
8335,42,7.0,1,6,4,4,2,5,1,1,1,6,5,0,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
8342,37,7.0,1,6,4,4,5,7,1,2,2,6,3,2,2,2,2,1,2,2,1,2,2,1,2,2,2,2,2,2,2
8368,55,5.0,1,1,4,5,1,1,1,2,2,2,234,123456789,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
8461,34,3.0,1,8,4,6,7,5,5,1,1,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
8478,52,4.0,1,1,1,3,1,1,1,5,3,2,1234,12356789,2,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1
8615,82,6.0,1,1,4,4,1,1,1,3,3,2,2,2356789,2,2,2,2,2,1,2,2,2,1,1,2,1,1,1,1,1
8615,93,6.0,1,1,4,5,7,7,7,1,1,2,2,267,2,2,2,2,2,1,2,2,2,1,2,2,2,1,1,2,2
8686,27,4.0,1,6,2,4,2,5,1,1,1,2,5,27,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
8694,61,5.0,1,3,4,6,7,4,1,3,2,6,2,279,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1
8707,82,5.0,1,8,4,6,5,5,7,3,2,8,2,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2
8729,65,4.0,1,6,4,5,7,3,1,3,2,2,23,67,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,2,2
8729,67,6.0,1,6,4,5,7,3,1,3,2,6,3,127,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2
8756,64,7.0,1,1,4,5,1,1,1,3,2,2,1234,2346789,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1
8793,47,5.0,1,1,1,1,1,1,1,5,3,2,1234,235678,1,2,1,2,1,1,1,1,2,1,1,2,1,1,1,1,2
8811,31,99.0,1,6,4,5,1,1,1,4,3,2,23,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
8811,31,8.0,1,6,4,5,1,1,1,4,3,2,23,27,1,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,2
8831,57,4.0,1,7,4,6,2,2,1,1,1,5,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
8857,71,5.0,1,3,4,6,7,5,1,3,2,6,2,278,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2
8900,7,99.0,1,1,4,6,1,7,1,2,1,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
8900,95,8.0,1,7,5,6,7,7,5,1,1,5,2,0,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2
8013,39,7.0,1,1,1,5,1,1,1,5,3,2,1234,23456789,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
8918,91,7.0,1,8,4,6,6,5,1,5,4,6,2,1267,2,2,2,1,2,1,2,2,1,1,2,2,2,1,1,2,2
8965,38,4.0,2,1,1,1,1,1,1,5,4,2,1234,123456789,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
9024,51,5.0,1,1,1,5,1,1,1,1,1,2,2,178,2,2,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2
9054,65,7.0,1,3,4,6,4,5,1,3,2,8,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
9054,86,5.0,1,3,4,6,4,5,1,2,1,8,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
9063,71,6.0,1,3,7,6,4,5,1,2,2,8,2,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
9073,40,6.0,1,3,4,6,4,5,1,2,1,8,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2
9173,93,5.0,1,3,4,6,1,1,1,5,2,2,23,267,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
9184,22,3.0,1,4,4,6,1,5,1,1,1,2,5,27,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2
9194,73,5.0,1,6,4,6,5,4,1,3,2,6,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
9232,99,4.0,1,3,4,3,1,1,1,3,2,2,234,23456789,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1
9233,32,4.0,1,1,1,2,1,1,1,4,3,2,1234,2356789,1,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1
9249,39,7.0,1,3,4,6,3,5,1,2,2,2,2,7,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2
9272,76,5.0,1,3,4,6,1,2,1,1,1,2,23,267,2,1,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
9274,43,6.0,1,4,4,5,1,1,1,2,1,2,23,12578,2,2,2,2,2,1,1,2,1,1,2,2,1,2,1,1,2
9317,78,4.0,1,1,1,3,1,1,1,3,2,2,23,4578,2,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2
9337,9,99.0,1,6,4,5,1,1,1,2,1,2,2,257,2,2,2,2,2,1,2,2,2,1,2,2,1,2,1,2,2
9338,58,5.0,1,1,3,1,1,1,2,2,2,2,124,123456789,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
9342,58,7.0,1,1,1,3,1,1,1,2,1,2,1234,123456789,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
9400,41,6.0,1,1,4,6,3,5,1,2,1,2,2,127,2,2,2,2,2,1,2,2,1,1,2,2,2,2,1,2,2
9445,30,6.0,1,3,4,6,1,1,1,3,3,2,2,17,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2
9450,83,6.0,1,8,4,6,6,7,1,3,3,2,2,2567,1,2,2,2,2,1,2,2,2,1,2,2,1,1,1,2,2
9450,85,2.0,1,8,4,5,6,5,1,1,1,2,23,267,2,2,2,2,2,1,1,2,2,1,2,2,2,1,1,2,2
9478,63,6.0,1,1,4,5,1,1,1,3,2,2,23,1256789,2,1,2,2,2,1,1,2,1,1,2,2,1,1,1,1,1
9508,62,6.0,1,1,1,3,1,1,1,4,2,2,234,1234689,1,2,2,2,2,1,1,1,1,1,1,1,2,1,2,1,1
9568,21,4.0,1,3,4,5,1,1,1,3,2,2,2,2678,2,1,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2
9601,10,8.0,1,3,4,6,2,5,1,4,3,6,2,167,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
9601,10,7.0,1,3,4,6,2,5,1,4,3,6,2,167,2,1,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2
9607,55,4.0,1,6,4,5,1,2,1,4,3,2,2,12356789,2,1,2,2,2,1,2,2,1,1,1,2,1,1,1,1,1
9639,33,4.0,1,1,4,5,1,1,1,4,2,2,1234,25678,2,1,2,2,1,1,1,1,2,1,2,2,1,1,1,1,2
9695,97,6.0,1,1,4,2,1,1,1,2,1,2,23,2789,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1
9735,50,5.0,1,6,4,4,1,5,1,5,2,2,23,12679,2,1,2,2,2,1,1,2,1,1,2,2,2,1,1,2,1
9827,29,5.0,1,2,4,3,1,1,1,4,2,2,2,123678,1,2,2,2,2,1,2,2,1,1,1,2,2,1,1,1,2
10012,63,7.0,1,1,1,3,1,1,1,5,4,2,1234,236789,1,1,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1
