,CONGLOME,VIVIENDA,ID,P336,P337,P338,P339,P340,P341,P342,P343,P344,P345_TIEMPO,P345_MESES,P345_DIAS,P346,P347,P348,P349,P350,P351,P352
222,7529,80,5.0,2,,,,,,,,,Dias,,21.0,2.0,,,,,,
223,7531,55,8.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,Meses,11.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0
224,7531,55,11.0,2,,,,,,,,,Meses,3.0,,2.0,,,,,,
225,7533,152,99.0,2,,,,,,,,,Dias,,11.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
226,7541,23,3.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,Meses,1.0,,2.0,,,,,,
227,7541,123,99.0,2,,,,,,,,,Dias,,15.0,2.0,,,,,,
228,7546,36,5.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
229,7549,67,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
230,7554,90,8.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
231,7564,29,99.0,2,,,,,,,,,Meses,5.0,,2.0,,,,,,
232,7567,59,6.0,2,,,,,,,,,Dias,,8.0,2.0,,,,,,
233,7567,59,99.0,2,,,,,,,,,Dias,,23.0,2.0,,,,,,
234,7567,87,6.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,11.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
235,7571,152,4.0,2,,,,,,,,,Dias,,9.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
236,7574,69,6.0,2,,,,,,,,,Meses,14.0,,2.0,,,,,,
237,7577,153,4.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,5.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0
238,7579,1,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
239,7582,45,4.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
240,7601,84,4.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
241,7603,100,5.0,2,,,,,,,,,Dias,,57.0,2.0,,,,,,
242,7605,104,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
243,7606,7,7.0,2,,,,,,,,,Meses,2.0,,1.0,2.0,1.0,2.0,2.0,1.0,2.0
244,7615,43,5.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
245,7615,87,4.0,2,,,,,,,,,Dias,,22.0,2.0,,,,,,
246,7621,16,11.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
247,7622,92,10.0,2,,,,,,,,,Meses,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,2.0
248,7623,85,7.0,2,,,,,,,,,Dias,,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
249,7628,156,3.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
250,7630,81,8.0,2,,,,,,,,,Dias,,14.0,2.0,,,,,,
251,7647,97,99.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
252,7650,65,7.0,1,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,Meses,11.0,,2.0,,,,,,
253,7692,7,4.0,1,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,Meses,3.0,,1.0,2.0,1.0,2.0,2.0,2.0,2.0
254,7703,55,7.0,2,,,,,,,,,Dias,,30.0,2.0,,,,,,
255,7745,107,9.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
256,7798,68,5.0,2,,,,,,,,,Dias,,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
257,7812,61,8.0,2,,,,,,,,,Meses,4.0,,2.0,,,,,,
258,7818,44,5.0,2,,,,,,,,,Meses,6.0,,2.0,,,,,,
259,7888,80,4.0,2,,,,,,,,,Dias,,1.0,2.0,,,,,,
260,7898,190,4.0,2,,,,,,,,,Meses,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,
261,7921,50,5.0,2,,,,,,,,,Dias,,55.0,2.0,,,,,,
262,7921,103,5.0,2,,,,,,,,,Meses,2.0,,2.0,,,,,,
263,7943,23,6.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
264,7943,58,6.0,2,,,,,,,,,Meses,8.0,,2.0,,,,,,
265,7960,80,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,9.0,,2.0,,,,,,
266,7962,12,99.0,2,,,,,,,,,Dias,,7.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
267,7977,31,6.0,2,,,,,,,,,Meses,11.0,,2.0,,,,,,
268,7992,38,8.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
269,7992,101,99.0,2,,,,,,,,,Dias,,4.0,2.0,,,,,,
270,7992,132,7.0,2,,,,,,,,,Dias,,3.0,2.0,,,,,,
271,8013,39,7.0,2,,,,,,,,,Meses,7.0,,2.0,,,,,,
272,8013,74,5.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,Meses,2.0,,2.0,,,,,,
273,8034,114,7.0,2,,,,,,,,,Meses,1.0,,2.0,,,,,,
